0.005,156.5
0.01,112.8
0.015,112.3
0.02,110.8
0.025,107.3
0.03,105.7
0.035,106.6
0.04,108.5
0.045,106.4
0.05,108.7
0.055,110.6
0.06,106.5
0.065,107.5
0.07,107.8
0.075,107.7
0.08,107.9
0.085,107.5
0.09,108.0
0.095,107.2
0.1,108.3
0.105,106.7
0.11,107.4
0.115,107.9
0.12,108.1
0.125,106.4
0.13,107.0
0.135,109.0
0.14,107.3
0.145,108.9
0.15,108.7
0.155,107.5
0.16,108.2
0.165,107.1
0.17,105.4
0.175,106.5
0.18,106.4
0.185,106.0
0.19,107.0
0.195,106.6
0.2,107.1
0.205,107.9
0.21,106.9
0.215,106.6
0.22,106.9
0.225,106.1
0.23,107.0
0.235,107.0
0.24,108.7
0.245,108.1
0.25,107.6
